Subject,Accuracy
1,0.6215277777777778
2,0.4652777777777778
3,0.798611111111111
4,0.5416666666666667
5,0.4097222222222222
6,0.4027777777777778
7,0.513888888888889
8,0.7118055555555555
9,0.670138888888889
