Subject,Accuracy
1,0.7375
2,0.5104166666666667
3,0.8055555555555556
4,0.611111111111111
5,0.4479166666666667
6,0.48611111111111105
7,0.8020833333333333
8,0.7777777777777778
9,0.7604166666666667
