Iteration,Accuracy
0,0.61304012345679
1,0.6138117283950617
2,0.6346450617283952
3,0.6292438271604939
4,0.6273148148148148
5,0.6226851851851851
6,0.6114969135802469
7,0.619212962962963
8,0.6269290123456791
9,0.6304012345679012
